2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11296200, старая цена: , корпус: 1, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11324300, старая цена: , корпус: 1, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:49,577 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11352400, старая цена: , корпус: 1, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,890 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:50,921 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11352400, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,922 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11380500, старая цена: , корпус: 1, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:50,922 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 51.6, цена: 11383534, старая цена: , корпус: А, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 0, площадь: 57.3, цена: 11402700, старая цена: , корпус: 2, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 0, площадь: 57.3, цена: 11460000, старая цена: , корпус: 2, этаж: 3, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11464800, старая цена: , корпус: 1, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:50,924 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11464800, старая цена: , корпус: 1, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:50,924 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11466900, старая цена: , корпус: 1, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11494800, старая цена: , корпус: 1, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11494800, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:50,930 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:50,930 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,930 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11606400, старая цена: , корпус: 1, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:50,930 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11606400, старая цена: , корпус: 1, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:50,945 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12047805, старая цена: 12681900, корпус: 1.2, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:50,945 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12114737, старая цена: 12752355, корпус: 1.2, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,946 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12114737, старая цена: 12752355, корпус: 1.2, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,946 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12148204, старая цена: 12787583, корпус: 1.2, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:50,946 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12148204, старая цена: 12787583, корпус: 1.2, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:50,946 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 69.7, цена: 12167006, старая цена: 12807375, корпус: 1.2, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:50,947 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12181670, старая цена: 12822810, корпус: 1.2, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:50,947 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12181670, старая цена: 12822810, корпус: 1.2, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:54,039 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:54,054 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12215136, старая цена: 12858038, корпус: 1.2, этаж: 10, отделка: Предчистовая
2026-02-24 14:49:54,054 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.1, цена: 12248602, старая цена: 12893265, корпус: 1.2, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:54,055 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 67.5, цена: 12254288, старая цена: 12899250, корпус: 1.2, этаж: 8, отделка: Предчистовая
2026-02-24 14:49:54,055 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12568500, старая цена: 13230000, корпус: 1.2, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:54,055 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 69.4, цена: 12599223, старая цена: 13262340, корпус: 1.2, этаж: 8, отделка: Предчистовая
2026-02-24 14:49:54,055 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12638325, старая цена: 13303500, корпус: 1.2, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:54,056 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12673238, старая цена: 13340250, корпус: 1.2, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:54,056 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12708150, старая цена: 13377000, корпус: 1.2, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12708150, старая цена: 13377000, корпус: 1.2, этаж: 23, отделка: Предчистовая
